input_hash,md5,sha1,sha256,malicious,suspicious,harmless,undetected,verdict
1248E17F5BBAE5BC3B23C0467124B04AC8A3FAD5180BCD9B8999A8F72267EBF6,46020e8a0d030dd62759309ca070feec,44476e61b8949deae0d05c7d149f3c916d2af0c7,1248e17f5bbae5bc3b23c0467124b04ac8a3fad5180bcd9b8999a8f72267ebf6,0,0,0,72,No strong detection shown
275A021BBFB6489E54D471899F7DB9D1663FC695EC2FE2A2C4538AABF651FD0F,44d88612fea8a8f36de82e1278abb02f,3395856ce81f2b7382dee72602f798b642f14140,275a021bbfb6489e54d471899f7db9d1663fc695ec2fe2a2c4538aabf651fd0f,67,0,0,2,Potentially malicious
